CVID-1006-H3	CVID-1006-H3.filt.sam	PQ625012	18190	110	0.994
1428-M-3	1428-M-3.filt.sam	PQ624891	2128	22	0.990
1428-M-3	1428-M-3.filt.sam	PQ624890	3171	25	0.992
1428-M-3	1428-M-3.filt.sam	PQ624997	3634	94	0.975
1428-M-3	1428-M-3.filt.sam	PQ625100	502	17	0.967
ME-M-11	ME-M-11.filt.sam	PQ625027	14167	696	0.953
ME-M-11	ME-M-11.filt.sam	PQ625128	12988	2408	0.844
ME-M-11	ME-M-11.filt.sam	PQ625196	11514	473	0.961
ME-M-11	ME-M-11.filt.sam	PQ624923	34005	727	0.979
ME-M-14	ME-M-14.filt.sam	PQ625028	19401	646	0.968
ME-M-14	ME-M-14.filt.sam	PQ624924	35318	430	0.988
ME-M-14	ME-M-14.filt.sam	PQ625129	3176	269	0.922
1020-C2	1020-C2.filt.sam	PQ624870	1934	11	0.994
1020-C2	1020-C2.filt.sam	PQ624978	1284	21	0.984
1020-C2	1020-C2.filt.sam	PQ625081	233	6	0.975
Myrtle-D5	Myrtle-D5.filt.sam	PQ625134	193	31	0.862
Myrtle-D5	Myrtle-D5.filt.sam	PQ625033	943	20	0.979
Myrtle-D5	Myrtle-D5.filt.sam	PQ624929	1367	14	0.990
Penn-F-1	Penn-F-1.filt.sam	PQ625200	94		1.000
Penn-F-1	Penn-F-1.filt.sam	PQ624938	61		1.000
Penn-F-1	Penn-F-1.filt.sam	PQ625041	91	1	0.989
ME-M-1	ME-M-1.filt.sam	PQ625019	42921	1234	0.972
ME-M-1	ME-M-1.filt.sam	PQ624914	91891	1179	0.987
ME-M-1	ME-M-1.filt.sam	PQ625191	31406	1033	0.968
ME-M-1	ME-M-1.filt.sam	PQ625120	38063	3862	0.908
Penn-F-2	Penn-F-2.filt.sam	PQ625142	111721	285	0.997
Penn-F-2	Penn-F-2.filt.sam	PQ624939	178110	340	0.998
Penn-F-2	Penn-F-2.filt.sam	PQ625201	191078	340	0.998
